Device_ID,Device_Name,Measure_Family,Measure,N_Measures,N_Complete_Pairs,Mean_ICC_3_1,Median_ICC_3_1,ICC_Q1,ICC_Q3,N_ICC_GE_0_50,N_ICC_GE_0_75
2,Apple_iPad_2021,Traditional Stroop,W card completion time,1,43.0,0.5882130026234307,0.5882130026234307,,,1,0
2,Apple_iPad_2021,Traditional Stroop,CW accuracy,1,50.0,0.12269185685720192,0.12269185685720192,,,0,0
2,Apple_iPad_2021,Traditional Stroop,CW card completion time,1,24.0,0.3806291186625569,0.3806291186625569,,,0,0
2,Apple_iPad_2021,Traditional Stroop,Three-condition overall accuracy,1,51.0,0.0505603368212496,0.0505603368212496,,,0,0
2,Apple_iPad_2021,Traditional Stroop,Three-condition total completion time,1,20.0,0.6682696663960763,0.6682696663960763,,,1,0
3,Huawei_P30_smartphone,Acoustic (32 features),C,32,51.0,0.48088956333486743,0.5823484808390121,0.308498107629589,0.6449470416908939,17,4
3,Huawei_P30_smartphone,Acoustic (32 features),W,32,51.0,0.46734710072657837,0.5316750916852385,0.2755540618371933,0.6759446269429343,17,4
3,Huawei_P30_smartphone,Acoustic (32 features),Model_Based_CW_vs_W_Task_Slope,32,51.0,-0.01740602495143754,-0.017652469474789254,-0.13830715194185284,0.13519783760713602,1,0
3,Huawei_P30_smartphone,Acoustic (32 features),Overall_All_Conditions,32,51.0,0.579452335943786,0.6588449184136802,0.4507415297956972,0.7583423252757939,22,10
3,Huawei_P30_smartphone,Acoustic (32 features),CW,32,50.0,0.4563497736889099,0.5076839894916804,0.2731749958078385,0.67184385157566,16,4
3,Huawei_P30_smartphone,Traditional Stroop,Accuracy interference (W - CW),1,50.0,0.38928504899221344,0.38928504899221344,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,Completion-time interference (CW - W),1,29.0,0.2774902126588348,0.2774902126588348,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,C accuracy,1,51.0,-0.035058430717863104,-0.035058430717863104,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,C card completion time,1,43.0,0.5373621500325803,0.5373621500325803,,,1,0
3,Huawei_P30_smartphone,Traditional Stroop,W accuracy,1,51.0,-0.17463976945244974,-0.17463976945244974,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,W card completion time,1,46.0,0.5749816927713268,0.5749816927713268,,,1,0
3,Huawei_P30_smartphone,Traditional Stroop,CW accuracy,1,50.0,0.40062155255580356,0.40062155255580356,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,CW card completion time,1,32.0,0.16035775464666496,0.16035775464666496,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,Three-condition overall accuracy,1,51.0,0.3353004495662635,0.3353004495662635,,,0,0
3,Huawei_P30_smartphone,Traditional Stroop,Three-condition total completion time,1,23.0,0.5716448035875357,0.5716448035875357,,,1,0
